Timestamp,CWND,RTT
4.0531158447265625e-06,20,37.695
0.012029886245727539,22,34.226
0.024422883987426758,24,34.323
0.036763906478881836,25,36.218
0.04882693290710449,26,38.787
0.0608370304107666,28,45.415
0.07278203964233398,30,53.732
0.0868220329284668,32,63.153
0.09960198402404785,35,74.84
0.11215090751647949,39,90
0.12432694435119629,41,94.771
0.13693785667419434,44,104.016
0.14980101585388184,44,106.138
0.16227102279663086,40,109.341
0.17525291442871094,40,109.341
0.18723607063293457,36,111.518
0.19951605796813965,34,113.539
0.21190285682678223,34,113.539
0.22519898414611816,24,118.931
0.2380058765411377,22,123.488
0.25003695487976074,18,128.32
0.2634270191192627,18,130.536
0.27565598487854004,14,131.388
0.2881629467010498,18,131.465
0.3004310131072998,18,131.465
0.31437206268310547,19,131.032
0.3272528648376465,19,131.032
0.340285062789917,19,131.032
0.35315799713134766,19,131.032
0.3663349151611328,18,131.032
0.3790609836578369,18,131.032
0.39119696617126465,17,131.032
0.40462589263916016,17,131.032
0.41760897636413574,17,131.032
0.4297189712524414,17,131.032
0.4418349266052246,17,131.032
0.4543938636779785,17,131.032
0.46689391136169434,17,131.032
0.47961997985839844,15,129.653
0.491757869720459,15,129.653
0.5037639141082764,15,129.653
0.51584792137146,15,129.653
0.5283200740814209,16,130.946
0.5413150787353516,16,130.946
0.5540258884429932,12,132.676
0.5663268566131592,12,133.887
0.5784358978271484,12,133.887
0.5902218818664551,12,133.887
0.6031770706176758,12,133.887
0.6153090000152588,12,133.887
0.6290309429168701,13,135.151
0.6419649124145508,12,135.494
0.6566388607025146,12,136.781
0.6690728664398193,12,137.925
0.682466983795166,12,137.925
0.6949849128723145,12,137.925
0.7078919410705566,12,137.925
0.7216780185699463,12,137.925
0.7336690425872803,12,137.925
0.7463250160217285,12,137.925
0.759376049041748,12,137.925
0.7714378833770752,12,138.646
0.7841849327087402,23,138.815
0.7974610328674316,23,139.48
0.8093008995056152,23,140.194
0.8214218616485596,23,140.194
0.8336429595947266,23,140.372
0.845599889755249,22,140.359
0.8578219413757324,22,140.359
0.8700828552246094,22,140.359
0.8823339939117432,22,140.359
0.8950300216674805,22,140.359
0.9070179462432861,21,140.581
0.9190750122070312,19,141.019
0.9313690662384033,15,145.878
0.9448320865631104,11,144.92
0.9575920104980469,11,143.937
0.9707238674163818,11,143.937
0.9827258586883545,11,143.344
0.9954640865325928,11,143.344
1.0083439350128174,11,143.344
1.021148920059204,11,143.344
1.0340149402618408,11,143.344
1.0476269721984863,11,143.344
1.0600478649139404,11,139.517
1.0718860626220703,11,136.817
1.0843970775604248,11,134.751
