Timestamp,CWND,RTT
0.029697895050048828,10,47.698
0.04288983345031738,13,39.082
0.05494093894958496,20,32.239
0.06800103187561035,20,32.239
0.08172488212585449,21,33.066
0.0954129695892334,23,36.398
0.10758185386657715,26,44.739
0.12068581581115723,32,58.09
0.13427090644836426,33,61.236
0.14680695533752441,35,68.737
0.15953683853149414,37,76.453
0.17139387130737305,39,85.485
0.18389296531677246,40,90.491
0.19682884216308594,40,90.491
0.20930695533752441,40,90.491
0.22177886962890625,21,95.853
0.23512792587280273,35,107.647
0.2475719451904297,33,120.62
0.25993800163269043,27,129.365
0.2740359306335449,24,133.245
0.28618788719177246,20,135.513
0.29940080642700195,16,139.224
0.31154799461364746,15,139.964
0.32417798042297363,12,140.333
0.3368358612060547,12,140.333
0.34938883781433105,12,140.333
0.3617238998413086,12,140.333
0.3740978240966797,10,140.193
0.3873589038848877,10,139.999
0.40012598037719727,10,137.741
0.4122788906097412,10,137.741
0.42444896697998047,10,135.729
0.4371168613433838,10,134.263
0.4496798515319824,10,132.48
0.4620048999786377,10,132.48
0.4745628833770752,10,132.48
0.48739194869995117,10,132.48
0.5005209445953369,10,132.48
0.5138628482818604,10,127.923
0.5272419452667236,10,126.698
0.5404889583587646,10,126.698
0.5535159111022949,10,127.14
0.5663230419158936,10,127.884
0.5786399841308594,10,127.884
0.5918450355529785,10,127.884
0.6039648056030273,10,127.884
0.6162688732147217,10,132.802
0.6290979385375977,10,132.802
0.6420369148254395,10,133.265
0.6552720069885254,9,133.872
0.6678619384765625,9,133.872
0.6797778606414795,9,137.158
0.6927189826965332,9,138.23
0.7053358554840088,9,138.23
0.7195079326629639,9,138.23
0.7328128814697266,9,142.469
0.7458648681640625,9,142.469
0.7581188678741455,9,142.469
0.7704098224639893,9,145.085
0.7825498580932617,8,144.408
0.7953948974609375,8,144.408
0.8082180023193359,8,142.497
0.8203439712524414,8,140.761
0.832334041595459,8,140.761
0.8446109294891357,8,140.761
0.85695481300354,8,140.761
0.8695619106292725,8,140.761
0.881915807723999,8,140.761
0.8943769931793213,8,142.967
0.9070999622344971,7,140.851
0.9192328453063965,7,140.851
0.931088924407959,7,137.711
0.9441909790039062,7,135.04
0.9572210311889648,7,135.04
0.9710209369659424,7,135.04
0.983590841293335,7,135.04
0.996649980545044,7,135.04
1.0096149444580078,7,131.975
1.0223619937896729,7,131.975
1.0347449779510498,6,131.639
1.047691822052002,6,129.949
1.060210943222046,6,129.949
1.0723769664764404,6,129.949
1.0858759880065918,6,131.429
1.0981268882751465,6,131.429
1.1100778579711914,6,128.257
1.1237719058990479,6,128.257
1.13584303855896,5,126.004
1.1480519771575928,5,126.004
1.1602318286895752,5,126.004
1.1730878353118896,5,126.004
1.185525894165039,5,127.246
1.1988139152526855,5,127.246
1.2115159034729004,5,123.671
1.2246990203857422,5,123.671
1.2377920150756836,5,123.671
1.2499728202819824,5,123.671
1.2621619701385498,4,124.168
1.2743408679962158,4,120.155
1.286613941192627,4,120.155
1.2995688915252686,4,116.265
1.3120479583740234,4,116.265
1.3257629871368408,4,116.265
1.3380298614501953,4,116.265
1.3500728607177734,4,116.265
1.3623249530792236,3,113.007
1.3759539127349854,3,113.007
1.3880789279937744,3,109.54
1.4008069038391113,3,109.54
1.4137418270111084,3,109.54
1.4261360168457031,3,109.54
1.4398198127746582,3,109.54
1.4526028633117676,3,109.54
1.466554880142212,3,109.54
1.4795219898223877,3,109.528
1.4958949089050293,3,109.528
1.5081188678741455,3,111.887
1.5212838649749756,3,111.887
1.5340118408203125,3,111.887
1.547987937927246,3,111.887
1.5616188049316406,4,108.836
1.5739939212799072,4,108.836
1.5873539447784424,4,108.836
1.6004958152770996,4,108.836
1.6130039691925049,4,108.836
1.6261649131774902,4,108.836
1.6398918628692627,4,110.671
1.6526620388031006,4,108.592
1.6651959419250488,4,108.592
1.6778068542480469,4,108.592
1.69136381149292,4,111.95
1.7043299674987793,4,111.95
1.7166988849639893,4,111.95
1.7293050289154053,4,111.95
1.7423479557037354,5,112.044
1.7544078826904297,5,112.044
1.7668349742889404,5,112.044
1.7791268825531006,5,112.044
1.7913458347320557,5,114.424
1.8040318489074707,5,114.424
1.8175280094146729,5,114.424
1.8294198513031006,5,114.424
1.8420259952545166,5,111.69
1.8554878234863281,5,111.69
1.868285894393921,5,111.69
1.8814148902893066,5,111.759
1.8933148384094238,5,111.759
1.9064550399780273,5,111.759
1.9183669090270996,5,111.759
1.9306130409240723,4,109.411
1.9432590007781982,4,109.411
1.9557030200958252,4,109.411
1.9679889678955078,4,107.557
1.9809470176696777,4,107.557
1.9937899112701416,4,107.557
2.0065908432006836,4,110.318
2.020875930786133,4,110.318
2.034168004989624,4,110.318
2.046146869659424,4,110.318
2.058516025543213,3,112.637
2.071146011352539,3,110.973
2.083500862121582,3,110.973
2.096047878265381,3,110.973
2.108320951461792,3,110.973
2.1212399005889893,3,110.973
2.1346499919891357,3,110.973
2.1471328735351562,3,113.873
2.159700870513916,3,113.873
2.1741628646850586,2,111.417
2.1873228549957275,2,111.417
2.199744939804077,2,111.417
2.213225841522217,2,111.417
2.225874900817871,2,111.417
2.239194869995117,2,111.417
2.2516489028930664,2,111.417
2.2652809619903564,4,112.597
2.2789628505706787,4,112.597
2.2914068698883057,4,112.597
2.303925037384033,4,112.597
2.316027879714966,4,112.597
2.32997989654541,4,112.597
2.3423938751220703,4,112.597
2.3554270267486572,4,110.088
2.367702007293701,4,108.721
2.3806028366088867,4,108.721
2.39314603805542,4,108.721
2.4070818424224854,4,108.721
